Vertebrado,Clasificacion,Locomocion1,Locomocion2,Locomocion3,Animal,Tamano,Dieta,Reproduccion,Patas,Piel,Domestico,Mitologico,Caracteristica,Caracteristica2,Caracteristica3,Caracteristica4,Caracteristica5
1,Ave,Volador,Terrestre,None,Zopilote,Grande,Omnivoro,Oviparo,2,Plumas,0,0,Carronero,None,None,None,None
1,Ave,Acuatico,Volador,Terrestre,Pelicano,Mediano,Carnivoro,Oviparo,2,Plumas,0,0,Cuello,Pico,None,None,None
1,Ave,Volador,Terrestre,None,Guacamaya,Mediano,Herviboro,Oviparo,2,Plumas,0,0,Rojo,None,None,None,None
1,Ave,Acuatico,Volador,Terrestre,Pato,Mediano,Omnivoro,Oviparo,2,Plumas,1,0,Migra,Grazna,None,None,None
1,Ave,Volador,None,None,Fenix,Mediano,Omnivoro,Oviparo,2,Plumas,0,1,Fuego,Regenera,None,None,None
1,Ave,Volador,None,None,Pajaro Carpintero,Pequeno,Carnivoro,Oviparo,2,Plumas,0,0,Construye,Pico,None,None,None
1,Ave,Volador,None,None,Tucan,Pequeno,Herviboro,Oviparo,2,Plumas,1,0,Pico,None,None,None,None
1,Ave,Volador,None,None,Colibri,Pequeno,Herviboro,Oviparo,2,Plumas,0,0,Polen,None,None,None,None
1,Ave,Volador,Terrestre,None,Paloma,Pequeno,Omnivoro,Oviparo,2,Plumas,1,0,Mensajera,None,None,None,None
1,Ave,Volador,Terrestre,None,Cuervo,Pequeno,Omnivoro,Oviparo,2,Plumas,0,0,Inteligencia,Negro,None,None,None
1,Ave,Acuatico,Volador,None,Gaviota,Pequeno,Omnivoro,Oviparo,2,Plumas,0,0,Pico,Naranja,None,None,None
1,Ave,Volador,Terrestre,None,Buho,Pequeno,Omnivoro,Oviparo,2,Plumas,0,0,Nocturno,None,None,None,None
1,Ave,Volador,Terrestre,None,Loro,Pequeno,Omnivoro,Oviparo,2,Plumas,1,0,Imitar,Verde,None,None,None
1,Pez,Acuatico,None,None,Tiburon,Grande,Carnivoro,Ovoviviparo,0,Piel desnuda,0,0,Dientes,None,None,None,None
1,Pez,Acuatico,None,None,Mantarraya,Grande,Carnivoro,Ovoviviparo,0,Piel desnuda,0,0,Plano,None,None,None,None
1,Pez,Acuatico,None,None,Pez Espada,Grande,Carnivoro,Oviparo,0,Escamas,0,0,Pico,None,None,None,None
1,Pez,Acuatico,None,None,Anguila,Mediano,Carnivoro,Oviparo,0,Escamas,0,0,Electricidad,None,None,None,None
1,Pez,Acuatico,None,None,Pirana,Pequeno,Carnivoro,Oviparo,0,Escamas,0,0,Dientes,Cardumenes,None,None,None
1,Pez,Acuatico,None,None,Caballito de Mar,Pequeno,Herviboro,Oviparo,0,Piel desnuda,0,0,Embarazo masculino,None,None,None,None
1,Pez,Acuatico,None,None,Pez Payaso,Pequeno,Omnivoro,Oviparo,0,Escamas,0,0,Anemona,None,None,None,None
1,Reptil,Terrestre,None,None,Dragon de Komodo,Grande,Carnivoro,Oviparo,4,Escamas,0,0,Venenoso,Bifida,None,None,None
1,Reptil,Terrestre,None,None,Serpiente,Mediano,Carnivoro,Oviparo,0,Escamas,0,0,Venenoso,Bifida,None,None,None
1,Reptil,Terrestre,None,None,Camaleon,Pequeno,Carnivoro,Oviparo,4,Escamas,0,0,Camufla,None,None,None,None
1,Reptil,Terrestre,None,None,Geco,Pequeno,Carnivoro,Oviparo,4,Escamas,0,0,Regenera,None,None,None,None
1,Reptil,Terrestre,None,None,Iguana,Pequeno,Herviboro,Oviparo,4,Escamas,0,0,Verde,Escala,None,None,None
1,Reptil,Acuatico,Terrestre,None,Tortuga,Pequeno,Omnivoro,Oviparo,4,Piel desnuda,1,0,Caparazon,None,None,None,None
